tahun,jenis_taman,jumlah,luas/area_M2
2008,Taman Kota dan Lingkungan ,2082.00,18279022.06
2008,Taman Interaktif,82.00,76447.63
2008,Taman/Bangunan Umum,17.00,86067.80
2008,Taman Rekreasi,4.00,127479.00
2008,Jalur Hijau Jalan & Pedestrian,60.00,601345.63
2008,Jalur Hijau Tepian Air & Penyempurna,35.00,806308.23
2008,Taman Pemakaman,,
2009,Taman Kota dan Lingkungan ,2088.00,18363031.06
2009,Taman Interaktif,82.00,76447.63
2009,Taman/Bangunan Umum,17.00,86067.80
2009,Taman Rekreasi,7.00,294282.00
2009,Jalur Hijau Jalan & Pedestrian,62.00,603545.63
2009,Jalur Hijau Tepian Air & Penyempurna,44.00,886584.86
2009,Taman Pemakaman,78.00,5904463.00
2010,Taman Kota dan Lingkungan ,2096.00,18603618.06
2010,Taman Interaktif,86.00,88564.57
2010,Taman/Bangunan Umum,17.00,86067.80
2010,Taman Rekreasi,7.00,294282.00
2010,Jalur Hijau Jalan & Pedestrian,66.00,606495.63
2010,Jalur Hijau Tepian Air & Penyempurna,46.00,900377.03
2010,Taman Pemakaman,78.00,5904463.00
2011,Taman Kota dan Lingkungan ,2119.00,18777044.91
2011,Taman Interaktif,91.00,156423.77
2011,Taman/Bangunan Umum,17.00,86067.80
2011,Taman Rekreasi,7.00,294282.00
2011,Jalur Hijau Jalan & Pedestrian,68.00,609395.63
2011,Jalur Hijau Tepian Air & Penyempurna,47.00,900689.25
2011,Taman Pemakaman,78.00,5904463.00
2012,Taman Kota dan Lingkungan ,2166.00,19121695.67
2012,Taman Interaktif,100.00,200003.36
2012,Taman/Bangunan Umum,17.00,86067.80
2012,Taman Rekreasi,7.00,294282.00
2012,Jalur Hijau Jalan & Pedestrian,91.00,726234.57
2012,Jalur Hijau Tepian Air & Penyempurna,52.00,924647.32
2012,Taman Pemakaman,78.00,5904463.00
2013,Taman Kota dan Lingkungan ,2177.00,19187237.18
2013,Taman Interaktif,101.00,205641.36
2013,Taman/Bangunan Umum,17.00,86067.80
2013,Taman Rekreasi,7.00,294280.00
2013,Jalur Hijau Jalan & Pedestrian,91.00,726234.56
2013,Jalur Hijau Tepian Air & Penyempurna,52.00,5925148.00
2013,Taman Pemakaman,78.00,5925148.00
2014,Taman Kota dan Lingkungan ,2188.00,19274368.18
2014,Taman Interaktif,102.00,205641.36
2014,Taman/Bangunan Umum,17.00,86067.80
2014,Taman Rekreasi,7.00,294282.00
2014,Jalur Hijau Jalan & Pedestrian,91.00,757689.56
2014,Jalur Hijau Tepian Air & Penyempurna,52.00,924647.31
2014,Taman Pemakaman,78.00,5945399.00
